"Stkcd","Date","Month","BM_Raw_lag","BM_Adj_lag","Delta_BM_lag","K_to_ME_lag","BM_Raw_june","BM_Adj_june","Delta_BM_june","K_to_ME_june","same_BM_Raw","same_BM_Adj","same_Delta_BM","same_K_to_ME","diff_BM_Raw","diff_BM_Adj","diff_Delta_BM","diff_K_to_ME"
"000033",2011-08-01,8,0.121535402295577,0.133205897048892,0.0116704947533151,0.011670494753315,0.140919039058182,0.154450856741815,0.0135318176836328,0.0135318176836328,FALSE,FALSE,FALSE,FALSE,0.0193836367626052,0.0212449596929229,0.00186132293031772,0.00186132293031773
"000033",2011-09-01,9,0.139804172737314,0.153228934852753,0.0134247621154396,0.0134247621154396,0.140919039058182,0.154450856741815,0.0135318176836328,0.0135318176836328,FALSE,FALSE,FALSE,FALSE,0.00111486632086871,0.00122192188906195,0.000107055568193237,0.00010705556819323
"000033",2011-10-01,10,0.167025023757891,0.183063681026644,0.0160386572687531,0.0160386572687531,0.140919039058182,0.154450856741815,0.0135318176836328,0.0135318176836328,FALSE,FALSE,FALSE,FALSE,-0.0261059846997085,-0.0286128242848288,-0.0025068395851203,-0.00250683958512028
"000033",2011-11-01,11,0.153663021257612,0.168418585887283,0.0147555646296714,0.0147555646296713,0.140919039058182,0.154450856741815,0.0135318176836328,0.0135318176836328,FALSE,FALSE,FALSE,FALSE,-0.0127439821994293,-0.0139677291454679,-0.00122374694603858,-0.00122374694603856
"000033",2011-12-01,12,0.194617262472475,0.213305477574324,0.0186882151018495,0.0186882151018494,0.140919039058182,0.154450856741815,0.0135318176836328,0.0135318176836328,FALSE,FALSE,FALSE,FALSE,-0.0536982234142923,-0.0588546208325089,-0.00515639741821666,-0.00515639741821666
"000033",2012-01-01,1,0.244078003905654,0.267515710205032,0.0234377062993785,0.0234377062993785,0.140919039058182,0.154450856741815,0.0135318176836328,0.0135318176836328,FALSE,FALSE,FALSE,FALSE,-0.103158964847472,-0.113064853463217,-0.00990588861574568,-0.00990588861574568
"000033",2012-02-01,2,0.230094368436077,0.252189289495127,0.0220949210590493,0.0220949210590493,0.140919039058182,0.154450856741815,0.0135318176836328,0.0135318176836328,FALSE,FALSE,FALSE,FALSE,-0.089175329377895,-0.0977384327533115,-0.00856310337541655,-0.00856310337541655
"000033",2012-03-01,3,0.20692327297333,0.226793178580759,0.019869905607429,0.019869905607429,0.140919039058182,0.154450856741815,0.0135318176836328,0.0135318176836328,FALSE,FALSE,FALSE,FALSE,-0.0660042339151476,-0.0723423218389438,-0.0063380879237962,-0.00633808792379619
"000033",2012-04-01,4,0.197223744596523,0.216162248382812,0.0189385037862884,0.0189385037862884,0.140919039058182,0.154450856741815,0.0135318176836328,0.0135318176836328,FALSE,FALSE,FALSE,FALSE,-0.056304705538341,-0.0617113916409966,-0.00540668610265563,-0.00540668610265563
"000033",2012-05-01,5,0.178858779710234,0.196033779017152,0.0171749993069186,0.0171749993069186,0.140919039058182,0.154450856741815,0.0135318176836328,0.0135318176836328,FALSE,FALSE,FALSE,FALSE,-0.0379397406520512,-0.0415829222753371,-0.00364318162328583,-0.00364318162328583
"000033",2012-06-01,6,0.176359755222593,0.193294784515668,0.0169350292930746,0.0169350292930745,0.140919039058182,0.154450856741815,0.0135318176836328,0.0135318176836328,FALSE,FALSE,FALSE,FALSE,-0.0354407161644107,-0.0388439277738525,-0.00340321160944176,-0.00340321160944176
"000033",2012-08-01,8,0.2119026979376,0.233692897939563,0.0217902000019634,0.0217902000019634,0.194359555054603,0.214345773343242,0.0199862182886391,0.0199862182886391,FALSE,FALSE,FALSE,FALSE,-0.0175431428829965,-0.0193471245963208,-0.0018039817133243,-0.00180398171332431
"000033",2012-09-01,9,0.210403386621022,0.232039410702757,0.0216360240817349,0.0216360240817349,0.194359555054603,0.214345773343242,0.0199862182886391,0.0199862182886391,FALSE,FALSE,FALSE,FALSE,-0.016043831566419,-0.0176936373595148,-0.00164980579309579,-0.00164980579309582
"000033",2012-10-01,10,0.205555381595293,0.226692879701901,0.0211374981066089,0.0211374981066089,0.194359555054603,0.214345773343242,0.0199862182886391,0.0199862182886391,FALSE,FALSE,FALSE,FALSE,-0.0111958265406894,-0.0123471063586592,-0.00115127981796981,-0.00115127981796981
"000033",2012-11-01,11,0.205555381595293,0.226692879701901,0.0211374981066089,0.0211374981066089,0.194359555054603,0.214345773343242,0.0199862182886391,0.0199862182886391,FALSE,FALSE,FALSE,FALSE,-0.0111958265406894,-0.0123471063586592,-0.00115127981796981,-0.00115127981796981
"000033",2012-12-01,12,0.241764325555127,0.2666252313315,0.0248609057763735,0.0248609057763735,0.194359555054603,0.214345773343242,0.0199862182886391,0.0199862182886391,FALSE,FALSE,FALSE,FALSE,-0.0474047705005237,-0.0522794579882581,-0.0048746874877344,-0.00487468748773443
"000033",2013-01-01,1,0.208925142907621,0.230409157475177,0.0214840145675562,0.0214840145675562,0.194359555054603,0.214345773343242,0.0199862182886391,0.0199862182886391,FALSE,FALSE,FALSE,FALSE,-0.014565587853018,-0.0160633841319351,-0.00149779627891708,-0.0014977962789171
"000033",2013-02-01,2,0.187812706646366,0.207125704926075,0.0193129982797083,0.0193129982797083,0.194359555054603,0.214345773343242,0.0199862182886391,0.0199862182886391,FALSE,FALSE,FALSE,FALSE,0.00654684840823663,0.00722006841716746,0.00067322000893083,0.000673220008930803
"000033",2013-03-01,3,0.200925756580088,0.221587184981132,0.0206614284010447,0.0206614284010447,0.194359555054603,0.214345773343242,0.0199862182886391,0.0199862182886391,FALSE,FALSE,FALSE,FALSE,-0.00656620152548459,-0.00724141163789022,-0.000675210112405622,-0.000675210112405646
"000033",2013-04-01,4,0.221367334740369,0.244130794313285,0.0227634595729153,0.0227634595729153,0.194359555054603,0.214345773343242,0.0199862182886391,0.0199862182886391,FALSE,FALSE,FALSE,FALSE,-0.0270077796857663,-0.0297850209700425,-0.00277724128427617,-0.0027772412842762
"000033",2013-05-01,5,0.229925350718474,0.253568840992262,0.0236434902737882,0.0236434902737883,0.194359555054603,0.214345773343242,0.0199862182886391,0.0199862182886391,FALSE,FALSE,FALSE,FALSE,-0.0355657956638711,-0.0392230676490203,-0.00365727198514915,-0.00365727198514919
"000033",2013-06-01,6,0.216007350048548,0.238219636183942,0.0222122861353942,0.0222122861353942,0.194359555054603,0.214345773343242,0.0199862182886391,0.0199862182886391,FALSE,FALSE,FALSE,FALSE,-0.0216477949939444,-0.0238738628406995,-0.00222606784675508,-0.00222606784675511
"000033",2013-08-01,8,0.219025822767505,0.246366401307948,0.0273405785404424,0.0273405785404424,0.245414476016469,0.276049100152145,0.0306346241356763,0.0306346241356763,FALSE,FALSE,FALSE,FALSE,0.0263886532489636,0.0296826988441975,0.00329404559523391,0.00329404559523393
"000033",2013-09-01,9,0.206272420706149,0.232021016226916,0.0257485955207668,0.0257485955207668,0.245414476016469,0.276049100152145,0.0306346241356763,0.0306346241356763,FALSE,FALSE,FALSE,FALSE,0.0391420553103193,0.0440280839252287,0.00488602861490947,0.00488602861490948
"000033",2013-10-01,10,0.200190679479579,0.225180102764092,0.0249894232845131,0.0249894232845132,0.245414476016469,0.276049100152145,0.0306346241356763,0.0306346241356763,FALSE,FALSE,FALSE,FALSE,0.0452237965368899,0.0508689973880531,0.00564520085116313,0.00564520085116313
